customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned,segment,segment_label
CUST50025,26,Month-to-month,92.82,2344.29,Fiber optic,No,Yes,Yes,Electronic check,No,0,Yes,Yes,Yes,No,4,12.88,1,0,0,0,Early Leavers
CUST50027,40,Month-to-month,24.12,943.46,Fiber optic,No,No,No,Mailed check,No,1,No,No,Yes,No,3,75.9,2,0,1,0,Early Leavers
CUST50028,7,Two year,27.04,162.03,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,No,No phone service,0,0.0,0,1,1,1,Price-Sensitive
CUST50031,46,Month-to-month,90.27,3753.68,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,3,0.0,0,1,0,1,Price-Sensitive
CUST50032,7,Two year,101.76,698.55,DSL,Yes,No,No,Mailed check,No,0,Yes,No,Yes,No,1,14.88,0,0,0,1,Price-Sensitive
CUST50033,26,Month-to-month,38.97,947.37,Fiber optic,No,Yes,No,Electronic check,Yes,0,No,No,Yes,Yes,7,48.16,0,0,0,2,Service-Frustrated
CUST50034,61,Month-to-month,50.14,2951.48,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,No,No phone service,2,2.14,2,2,0,0,Early Leavers
CUST50035,34,One year,91.46,3126.99,DSL,Yes,No,Yes,Electronic check,No,1,No,No,No,No phone service,1,22.25,1,0,0,0,Early Leavers
CUST50036,10,Two year,79.22,686.69,Fiber optic,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,Yes,9,22.53,0,1,0,2,Service-Frustrated
CUST50038,1,Month-to-month,86.03,85.44,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,No,No,Yes,No,1,6.1,0,0,1,1,Price-Sensitive
CUST50039,7,Month-to-month,63.97,422.49,Fiber optic,No,Yes,Yes,Credit card (auto),Yes,0,Yes,No,Yes,Yes,7,6.21,2,1,1,2,Service-Frustrated
CUST50040,17,One year,46.11,671.86,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,2,41.3,0,1,0,1,Price-Sensitive
CUST50041,37,Month-to-month,54.65,2068.61,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,No,4,13.52,0,1,1,1,Price-Sensitive
CUST50042,16,Month-to-month,86.61,1359.99,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,No,Yes,Yes,1,0.0,0,1,0,1,Price-Sensitive
CUST50043,1,Month-to-month,21.52,21.98,DSL,Yes,No,No,Electronic check,No,0,Yes,Yes,Yes,No,4,36.34,0,0,1,1,Price-Sensitive
CUST50044,1,Two year,60.12,58.61,Fiber optic,No,No,Yes,Credit card (auto),No,0,No,No,Yes,No,2,26.07,0,2,0,1,Price-Sensitive
CUST50045,17,Month-to-month,75.31,1325.96,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,Yes,Yes,No,5,0.0,0,0,1,2,Service-Frustrated
CUST50046,2,Two year,27.29,50.82,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,No,4,0.0,0,0,0,1,Price-Sensitive
CUST50047,54,Month-to-month,103.42,4962.98,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,Yes,8,0.0,0,0,0,2,Service-Frustrated
CUST50049,30,Month-to-month,23.28,646.42,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,0,0.0,0,0,1,1,Price-Sensitive
CUST50051,1,Month-to-month,118.0,110.95,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,0,0.0,1,0,1,0,Early Leavers
CUST50052,6,Month-to-month,114.83,710.68,Fiber optic,No,Yes,Yes,Electronic check,No,0,Yes,No,No,No phone service,0,12.5,0,0,0,1,Price-Sensitive
CUST50053,1,Two year,79.69,75.93,Fiber optic,No,Yes,Yes,Bank transfer (auto),No,0,Yes,No,Yes,Yes,2,6.49,0,0,0,1,Price-Sensitive
CUST50054,12,Month-to-month,30.58,342.59,Fiber optic,Yes,No,No,Electronic check,No,0,No,No,Yes,Yes,3,23.57,0,1,1,1,Price-Sensitive
CUST50055,13,Month-to-month,74.0,952.28,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,0,0.0,1,0,0,0,Early Leavers
CUST50056,1,Month-to-month,48.84,47.42,DSL,No,No,No,Electronic check,Yes,0,No,Yes,Yes,Yes,0,62.1,0,1,1,1,Price-Sensitive
CUST50059,1,Month-to-month,68.33,62.34,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,Yes,2,0.0,0,0,1,1,Price-Sensitive
CUST50062,14,Two year,39.15,489.27,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,Yes,Yes,No,0,0.0,0,0,0,1,Price-Sensitive
CUST50063,31,One year,25.57,735.45,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,No,Yes,No,2,0.0,0,0,1,1,Price-Sensitive
CUST50064,4,One year,74.06,251.96,DSL,No,No,Yes,Bank transfer (auto),No,1,Yes,No,Yes,No,2,20.59,0,0,0,1,Price-Sensitive
CUST50065,18,Month-to-month,118.47,2024.09,DSL,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,No,1,109.05,0,0,0,1,Price-Sensitive
CUST50066,71,Month-to-month,83.6,5562.71,Fiber optic,No,No,No,Credit card (auto),No,0,No,No,Yes,No,5,19.84,2,0,1,0,Early Leavers
CUST50067,14,Month-to-month,79.56,959.59,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,Yes,0,0.0,0,1,1,1,Price-Sensitive
CUST50069,1,Two year,97.1,86.6,DSL,No,No,No,Bank transfer (auto),Yes,0,No,No,No,No phone service,2,12.72,0,0,0,1,Price-Sensitive
CUST50070,41,Month-to-month,26.31,952.28,DSL,No,Yes,No,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,1,49.82,0,1,1,1,Price-Sensitive
CUST50071,4,Month-to-month,49.45,201.96,Fiber optic,No,Yes,Yes,Electronic check,Yes,1,No,No,Yes,Yes,10,8.0,0,0,0,2,Service-Frustrated
CUST50072,4,Month-to-month,58.95,212.01,Fiber optic,Yes,No,No,Electronic check,Yes,0,No,No,Yes,Yes,1,43.45,0,0,1,1,Price-Sensitive
CUST50073,2,Month-to-month,77.13,155.33,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,No,Yes,Yes,9,0.0,0,0,1,2,Service-Frustrated
CUST50074,12,Month-to-month,21.14,221.76,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,Yes,Yes,No,1,33.39,1,0,0,0,Early Leavers
CUST50075,9,Two year,75.61,636.02,DSL,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,1,28.76,0,0,0,1,Price-Sensitive
CUST50077,6,Month-to-month,111.73,673.44,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,0,37.76,0,0,0,1,Price-Sensitive
CUST50079,38,Month-to-month,56.85,1972.56,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,No,No,Yes,No,0,26.19,1,1,1,0,Early Leavers
CUST50080,1,Month-to-month,72.34,74.84,DSL,Yes,No,No,Bank transfer (auto),No,1,No,Yes,Yes,No,1,101.77,1,0,0,0,Early Leavers
CUST50081,18,Month-to-month,95.03,1472.75,DSL,Yes,Yes,Yes,Bank transfer (auto),No,1,Yes,Yes,No,No phone service,0,30.43,1,0,0,0,Early Leavers
CUST50082,20,Month-to-month,79.65,1589.74,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,Yes,Yes,No,5,0.0,0,0,1,2,Service-Frustrated
CUST50083,5,Two year,112.89,564.51,DSL,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,2,24.79,0,2,1,1,Price-Sensitive
CUST50084,39,One year,24.35,954.11,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,2,0.0,0,0,0,1,Price-Sensitive
CUST50088,4,Month-to-month,77.04,271.77,Fiber optic,No,No,Yes,Bank transfer (auto),No,1,Yes,Yes,Yes,Yes,2,7.06,0,0,1,1,Price-Sensitive
CUST50089,10,Month-to-month,69.21,642.05,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,Yes,Yes,No,0,0.0,0,2,0,1,Price-Sensitive
CUST50090,33,Two year,96.41,2742.75,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,Yes,No,2,3.32,1,0,0,0,Early Leavers
CUST50091,72,Month-to-month,76.56,5776.43,No,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,Yes,No,No phone service,1,0.0,1,1,0,0,Early Leavers
CUST50093,3,Two year,52.0,161.28,DSL,No,No,Yes,Electronic check,No,0,Yes,Yes,Yes,Yes,0,16.88,1,1,0,0,Early Leavers
CUST50095,19,Two year,26.04,482.73,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,4,43.08,2,0,1,0,Early Leavers
CUST50096,55,Month-to-month,41.58,2141.91,Fiber optic,No,No,No,Electronic check,No,0,Yes,No,Yes,No,0,60.92,0,0,1,1,Price-Sensitive
CUST50097,1,Two year,115.88,106.62,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,No,Yes,Yes,Yes,4,96.13,0,0,0,1,Price-Sensitive
CUST50098,6,Two year,109.55,653.13,DSL,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,Yes,0,56.2,0,0,1,1,Price-Sensitive
CUST50102,14,One year,97.88,1333.99,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,1,No,No,Yes,No,1,49.75,0,0,0,1,Price-Sensitive
CUST50103,10,Two year,100.06,1026.59,DSL,No,No,Yes,Mailed check,Yes,1,No,Yes,Yes,Yes,3,29.01,0,1,1,1,Price-Sensitive
CUST50104,23,Month-to-month,118.72,2429.55,DSL,No,Yes,No,Mailed check,No,0,Yes,Yes,Yes,Yes,2,12.08,0,0,0,1,Price-Sensitive
CUST50105,72,Month-to-month,37.7,2442.21,Fiber optic,No,No,No,Electronic check,No,0,No,Yes,Yes,No,3,24.81,0,1,0,1,Price-Sensitive
CUST50106,26,Month-to-month,105.05,2759.59,DSL,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,Yes,4,15.08,0,1,1,1,Price-Sensitive
CUST50107,44,One year,39.11,1777.98,Fiber optic,No,Yes,No,Electronic check,No,1,No,Yes,Yes,No,8,24.63,0,0,0,2,Service-Frustrated
CUST50108,6,Two year,102.91,639.79,Fiber optic,Yes,Yes,No,Mailed check,Yes,0,Yes,Yes,Yes,No,3,14.46,1,0,0,0,Early Leavers
CUST50110,15,One year,35.35,541.18,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,Yes,No,No phone service,0,68.43,2,0,1,0,Early Leavers
CUST50111,22,Month-to-month,28.5,578.34,Fiber optic,No,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,1,19.31,0,0,0,1,Price-Sensitive
CUST50112,72,Month-to-month,51.78,3312.91,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,No,No phone service,5,0.0,0,1,1,2,Service-Frustrated
CUST50114,59,Month-to-month,107.24,6440.13,DSL,No,No,No,Mailed check,No,1,Yes,Yes,Yes,Yes,3,24.84,1,0,0,0,Early Leavers
CUST50115,15,Month-to-month,106.6,1524.16,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,No,4,42.29,0,0,0,1,Price-Sensitive
CUST50116,20,Two year,108.77,1959.14,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,2,0.0,0,1,0,1,Price-Sensitive
CUST50117,50,Month-to-month,69.12,3382.32,Fiber optic,Yes,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,3,9.48,0,0,1,1,Price-Sensitive
CUST50118,5,Month-to-month,93.54,461.07,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,Yes,No,Yes,No,1,0.0,0,0,1,1,Price-Sensitive
CUST50119,57,Month-to-month,37.04,2047.49,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,No,1,19.99,0,0,1,1,Price-Sensitive
CUST50120,3,One year,119.74,352.13,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,No,Yes,No,No phone service,2,22.39,0,0,1,1,Price-Sensitive
CUST50121,1,Two year,38.04,39.34,DSL,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,5,15.28,0,0,0,2,Service-Frustrated
CUST50122,8,One year,79.92,630.84,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,Yes,1,20.8,0,0,1,1,Price-Sensitive
CUST50123,28,One year,50.09,1437.65,Fiber optic,No,No,No,Mailed check,No,0,No,Yes,Yes,Yes,4,31.38,0,0,0,1,Price-Sensitive
CUST50124,4,Month-to-month,50.09,183.96,Fiber optic,No,Yes,No,Bank transfer (auto),No,0,No,No,Yes,No,2,16.55,1,0,0,0,Early Leavers
CUST50125,9,One year,35.82,303.61,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,No,2,0.0,0,1,0,1,Price-Sensitive
CUST50127,9,One year,81.58,658.84,Fiber optic,No,No,No,Bank transfer (auto),No,0,No,Yes,Yes,Yes,5,60.13,2,1,0,0,Early Leavers
CUST50128,23,Month-to-month,23.26,485.95,Fiber optic,No,No,Yes,Electronic check,No,0,Yes,No,Yes,Yes,2,14.96,0,1,1,1,Price-Sensitive
CUST50130,1,Month-to-month,97.54,98.24,DSL,No,No,No,Bank transfer (auto),No,1,No,No,Yes,No,2,11.29,0,0,1,1,Price-Sensitive
CUST50132,14,Month-to-month,64.82,905.68,Fiber optic,No,No,No,Electronic check,Yes,1,Yes,No,No,No phone service,1,18.76,0,1,0,1,Price-Sensitive
CUST50134,27,Month-to-month,46.49,1218.71,DSL,No,No,No,Bank transfer (auto),No,0,Yes,No,No,No phone service,4,25.72,0,0,1,1,Price-Sensitive
CUST50137,25,One year,21.27,556.73,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,0,0.0,0,0,1,1,Price-Sensitive
CUST50138,31,One year,33.2,968.87,DSL,No,No,Yes,Credit card (auto),No,0,Yes,No,Yes,No,5,67.71,0,0,1,2,Service-Frustrated
CUST50139,47,Month-to-month,117.9,5427.36,DSL,Yes,No,No,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,1,15.91,1,1,1,0,Early Leavers
CUST50140,3,Month-to-month,30.52,95.24,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,Yes,0,0.0,0,0,1,1,Price-Sensitive
CUST50141,1,Two year,21.39,18.54,DSL,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,1,27.64,2,1,0,0,Early Leavers
CUST50143,21,Month-to-month,74.79,1355.59,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,1,Yes,No,Yes,Yes,2,16.55,3,1,1,0,Early Leavers
CUST50144,4,Month-to-month,102.38,396.35,Fiber optic,Yes,No,Yes,Electronic check,No,0,No,Yes,No,No phone service,0,21.52,1,0,1,0,Early Leavers
CUST50146,16,Month-to-month,29.03,486.67,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,Yes,0,0.0,1,1,0,0,Early Leavers
CUST50148,41,Month-to-month,79.29,3072.07,No,No internet service,No internet service,No internet service,Electronic check,No,1,No,No,No,No phone service,2,0.0,0,0,1,1,Price-Sensitive
CUST50150,17,Month-to-month,50.11,819.13,DSL,No,Yes,No,Mailed check,Yes,0,No,No,No,No phone service,1,14.03,0,0,0,1,Price-Sensitive
CUST50151,9,One year,34.02,308.28,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,Yes,No,1,47.24,0,2,0,1,Price-Sensitive
CUST50152,28,Month-to-month,29.01,750.05,Fiber optic,No,Yes,Yes,Mailed check,No,0,No,Yes,Yes,Yes,4,5.12,0,1,1,1,Price-Sensitive
CUST50153,13,Month-to-month,24.39,278.34,Fiber optic,No,No,Yes,Credit card (auto),No,1,No,Yes,Yes,No,3,14.84,0,0,0,1,Price-Sensitive
CUST50155,41,Two year,29.36,1190.15,DSL,Yes,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,5,5.53,3,0,1,0,Early Leavers
CUST50156,20,Month-to-month,28.68,563.99,Fiber optic,No,Yes,No,Electronic check,No,0,No,Yes,Yes,Yes,1,51.4,0,0,1,1,Price-Sensitive
CUST50157,1,One year,106.25,95.99,DSL,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,No,7,24.73,1,0,1,2,Service-Frustrated
CUST50158,44,Month-to-month,100.3,3798.15,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,1,No,No,No,No phone service,1,58.15,0,1,0,1,Price-Sensitive
CUST50159,1,Month-to-month,43.74,41.82,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,1,0.0,0,2,0,1,Price-Sensitive
CUST50160,27,One year,30.45,767.96,DSL,No,No,No,Bank transfer (auto),No,1,Yes,Yes,Yes,No,1,52.29,1,0,1,0,Early Leavers
CUST50161,17,Month-to-month,119.94,1979.62,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,No,Yes,No,3,0.0,0,1,0,1,Price-Sensitive
CUST50162,43,Month-to-month,91.9,3620.31,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,No,No phone service,0,50.93,1,0,1,0,Early Leavers
CUST50163,27,Two year,22.66,572.33,Fiber optic,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,Yes,3,28.54,0,0,1,1,Price-Sensitive
CUST50166,36,Month-to-month,68.38,2143.72,DSL,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,2,31.21,0,0,0,1,Price-Sensitive
CUST50167,25,One year,62.67,1516.11,DSL,No,No,Yes,Credit card (auto),Yes,0,No,No,No,No phone service,1,41.78,0,1,1,1,Price-Sensitive
CUST50168,4,Month-to-month,85.04,347.74,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,No,2,0.0,0,0,1,1,Price-Sensitive
CUST50169,6,Month-to-month,28.52,162.32,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,Yes,Yes,Yes,1,0.0,1,1,0,0,Early Leavers
CUST50171,2,Month-to-month,36.77,65.54,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,Yes,Yes,Yes,0,0.0,0,0,0,1,Price-Sensitive
CUST50174,72,Month-to-month,46.02,3025.76,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,2,61.08,1,0,0,0,Early Leavers
CUST50176,21,Month-to-month,114.53,2447.27,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,Yes,1,19.04,1,1,0,0,Early Leavers
CUST50177,9,Month-to-month,29.23,223.97,DSL,Yes,Yes,Yes,Electronic check,Yes,0,No,No,Yes,No,2,37.1,2,0,0,0,Early Leavers
CUST50178,47,Month-to-month,59.29,2791.8,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,1,Yes,Yes,Yes,No,0,0.0,0,0,1,1,Price-Sensitive
CUST50179,7,One year,105.62,695.3,Fiber optic,No,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,2,51.06,1,0,1,0,Early Leavers
CUST50180,1,One year,46.37,47.9,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,No,Yes,Yes,No,1,31.49,1,0,1,0,Early Leavers
CUST50181,71,Month-to-month,27.87,2020.81,Fiber optic,No,No,No,Mailed check,No,0,No,Yes,No,No phone service,1,22.22,0,1,0,1,Price-Sensitive
CUST50182,54,Month-to-month,71.24,3916.82,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,Yes,No,No phone service,0,14.18,0,0,1,1,Price-Sensitive
CUST50183,8,One year,99.98,792.76,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,3,17.05,0,0,0,1,Price-Sensitive
CUST50184,2,One year,70.4,133.41,Fiber optic,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,Yes,9,25.76,1,0,1,2,Service-Frustrated
CUST50185,47,Month-to-month,114.06,5609.36,Fiber optic,No,No,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,1,48.75,1,0,0,0,Early Leavers
CUST50186,17,Month-to-month,34.83,592.27,No,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,Yes,Yes,Yes,3,0.0,2,1,0,0,Early Leavers
CUST50187,23,Month-to-month,61.44,1363.73,DSL,No,No,No,Credit card (auto),No,0,No,No,Yes,Yes,1,27.0,0,0,0,1,Price-Sensitive
CUST50188,11,Month-to-month,66.67,728.78,Fiber optic,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,Yes,7,99.51,0,0,1,2,Service-Frustrated
CUST50190,22,Month-to-month,30.68,681.01,Fiber optic,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,Yes,4,6.85,1,1,1,0,Early Leavers
CUST50191,13,Month-to-month,44.48,527.61,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,Yes,Yes,Yes,2,0.0,1,0,0,0,Early Leavers
CUST50192,6,One year,82.88,486.16,DSL,No,Yes,No,Electronic check,Yes,0,No,Yes,Yes,Yes,3,21.47,0,0,0,1,Price-Sensitive
CUST50194,1,One year,110.94,109.38,DSL,No,No,No,Mailed check,No,0,Yes,Yes,No,No phone service,2,6.58,0,0,1,1,Price-Sensitive
CUST50195,13,Month-to-month,45.79,618.48,Fiber optic,No,Yes,Yes,Credit card (auto),Yes,0,Yes,No,Yes,No,2,6.49,1,0,0,0,Early Leavers
CUST50196,1,Two year,93.02,96.69,Fiber optic,No,No,No,Electronic check,Yes,0,No,Yes,Yes,No,7,48.59,0,0,1,2,Service-Frustrated
CUST50197,20,One year,103.82,1850.98,Fiber optic,No,No,Yes,Mailed check,No,0,No,No,Yes,No,2,30.37,1,0,1,0,Early Leavers
CUST50199,9,Month-to-month,49.73,385.99,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,Yes,Yes,No,2,108.46,0,0,0,1,Price-Sensitive
CUST50200,7,Month-to-month,70.5,483.47,Fiber optic,No,No,No,Credit card (auto),Yes,0,No,Yes,Yes,Yes,4,23.73,0,1,0,1,Price-Sensitive
CUST50201,13,Two year,80.81,1079.67,DSL,No,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,No,10,15.47,0,1,1,2,Service-Frustrated
CUST50202,18,One year,53.4,901.75,Fiber optic,No,No,Yes,Electronic check,Yes,0,Yes,No,Yes,Yes,8,19.18,0,0,1,2,Service-Frustrated
CUST50204,24,Two year,47.11,1099.86,DSL,No,Yes,Yes,Mailed check,No,0,Yes,Yes,Yes,No,1,39.01,2,0,1,0,Early Leavers
CUST50205,29,Month-to-month,75.2,1954.29,DSL,No,No,No,Bank transfer (auto),Yes,1,No,No,Yes,Yes,5,47.66,0,2,1,2,Service-Frustrated
CUST50206,16,One year,32.4,461.6,Fiber optic,No,Yes,No,Electronic check,Yes,0,No,Yes,Yes,No,2,25.47,2,3,0,0,Early Leavers
CUST50207,31,One year,112.11,3283.65,DSL,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,5,43.22,0,0,1,2,Service-Frustrated
CUST50208,72,Month-to-month,29.82,1870.92,Fiber optic,No,Yes,Yes,Credit card (auto),Yes,0,No,No,Yes,Yes,1,16.58,0,0,0,1,Price-Sensitive
CUST50209,50,Month-to-month,50.14,2274.56,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,Yes,Yes,2,38.9,0,2,1,1,Price-Sensitive
CUST50210,33,One year,59.25,1703.99,Fiber optic,No,No,No,Mailed check,No,0,Yes,Yes,Yes,Yes,1,14.87,0,0,1,1,Price-Sensitive
CUST50211,72,Month-to-month,96.07,6150.23,Fiber optic,No,No,Yes,Electronic check,No,1,No,No,Yes,Yes,2,28.73,0,0,1,1,Price-Sensitive
CUST50213,16,One year,54.01,904.93,Fiber optic,Yes,No,No,Electronic check,No,0,No,Yes,Yes,Yes,3,9.41,0,0,0,1,Price-Sensitive
CUST50214,17,Month-to-month,22.91,369.43,Fiber optic,No,No,No,Electronic check,No,0,Yes,Yes,Yes,No,2,7.04,1,1,0,0,Early Leavers
